"Date","Price","Open","High","Low","Change %"
"Dec 30, 2019","61.9863","62.0332","62.0662","61.6533","-0.08%"
"Dec 27, 2019","62.0332","62.2138","62.2138","61.8039","-0.29%"
"Dec 26, 2019","62.2138","61.8489","62.2495","61.6778","0.59%"
"Dec 25, 2019","61.8489","61.9669","61.9675","61.5403","-0.19%"
"Dec 24, 2019","61.9669","62.2680","62.2722","61.9055","-0.48%"
"Dec 23, 2019","62.2680","62.2634","62.3541","62.1411","0.01%"
"Dec 20, 2019","62.2634","62.4133","62.4660","62.0157","-0.24%"
"Dec 19, 2019","62.4133","62.6610","62.6650","62.3051","-0.40%"
"Dec 18, 2019","62.6610","62.4038","62.7145","62.4038","0.41%"
"Dec 17, 2019","62.4038","62.4428","62.7320","62.3606","-0.06%"
"Dec 16, 2019","62.4428","62.8650","62.8650","62.3818","-0.67%"
"Dec 13, 2019","62.8624","62.8402","62.9386","62.1662","0.04%"
"Dec 12, 2019","62.8402","63.2695","63.2908","62.6998","-0.68%"
"Dec 11, 2019","63.2695","63.5011","63.6103","63.2680","-0.36%"
"Dec 10, 2019","63.5011","63.5847","63.6574","63.4610","-0.13%"
"Dec 09, 2019","63.5847","63.7533","63.8005","63.5492","-0.26%"
"Dec 06, 2019","63.7533","63.7294","63.8328","63.6037","0.04%"
"Dec 05, 2019","63.7294","63.9429","63.9500","63.7195","-0.33%"
"Dec 04, 2019","63.9429","64.1502","64.2392","63.8314","-0.32%"
"Dec 03, 2019","64.1502","64.1748","64.2860","64.0723","-0.04%"
"Dec 02, 2019","64.1748","64.3195","64.4819","64.1647","-0.22%"
"Nov 29, 2019","64.3195","64.0735","64.3414","64.0200","0.38%"
"Nov 28, 2019","64.0735","63.9615","64.1827","63.9615","0.18%"
"Nov 27, 2019","63.9615","63.9516","64.1033","63.9067","0.02%"
"Nov 26, 2019","63.9516","63.9381","64.1313","63.9139","0.02%"
"Nov 25, 2019","63.9381","63.8623","64.0615","63.7324","0.12%"
"Nov 22, 2019","63.8623","63.7094","63.8993","63.6189","0.24%"
"Nov 21, 2019","63.7094","63.8991","63.8991","63.6612","-0.30%"
"Nov 20, 2019","63.8991","63.8192","64.1045","63.7915","0.13%"
"Nov 19, 2019","63.8192","63.8278","63.8813","63.6491","-0.01%"
"Nov 18, 2019","63.8278","63.7628","63.9452","63.6951","0.10%"
"Nov 15, 2019","63.7628","63.9828","63.9828","63.7105","-0.34%"
"Nov 14, 2019","63.9828","64.3456","64.3500","63.9828","-0.56%"
"Nov 13, 2019","64.3456","64.2272","64.4617","64.1344","0.18%"
"Nov 12, 2019","64.2272","63.8874","64.2762","63.7840","0.53%"
"Nov 11, 2019","63.8874","63.8046","63.9815","63.8000","0.13%"
"Nov 08, 2019","63.8046","63.5284","63.9529","63.5200","0.43%"
"Nov 07, 2019","63.5284","63.8725","63.9078","63.3811","-0.54%"
"Nov 06, 2019","63.8725","63.4946","64.0269","63.4946","0.60%"
"Nov 05, 2019","63.4946","63.5244","63.6775","63.1816","-0.05%"
"Nov 01, 2019","63.5244","64.1328","64.1328","63.3764","-0.95%"
"Oct 31, 2019","64.1328","63.8536","64.1799","63.7098","0.44%"
"Oct 30, 2019","63.8536","63.9463","64.1397","63.7704","-0.14%"
"Oct 29, 2019","63.9463","63.7520","64.0240","63.7520","0.30%"
"Oct 28, 2019","63.7520","63.8639","63.9327","63.5714","-0.18%"
"Oct 25, 2019","63.8639","64.0693","64.0703","63.6539","-0.32%"
"Oct 24, 2019","64.0693","63.9333","64.1383","63.7570","0.21%"
"Oct 23, 2019","63.9333","63.7282","63.9887","63.7021","0.32%"
"Oct 22, 2019","63.7282","63.7151","63.7964","63.5624","0.02%"
"Oct 21, 2019","63.7151","63.7651","63.8470","63.6337","-0.08%"
"Oct 18, 2019","63.7651","64.1176","64.1176","63.7616","-0.55%"
"Oct 17, 2019","64.1176","64.0773","64.2211","63.8570","0.06%"
"Oct 16, 2019","64.0773","64.2749","64.4443","64.0619","-0.31%"
"Oct 15, 2019","64.2749","64.2950","64.5010","64.1945","-0.03%"
"Oct 14, 2019","64.2950","64.2224","64.4268","64.2050","0.11%"
"Oct 11, 2019","64.2224","64.4582","64.4582","64.0243","-0.37%"
"Oct 10, 2019","64.4582","64.8895","64.8895","64.4066","-0.66%"
"Oct 09, 2019","64.8895","65.2004","65.2004","64.8222","-0.48%"
"Oct 08, 2019","65.2004","64.9596","65.3465","64.7777","0.37%"
"Oct 07, 2019","64.9596","64.6288","64.9738","64.6150","0.51%"
"Oct 04, 2019","64.6288","65.1317","65.1317","64.5483","-0.77%"
"Oct 03, 2019","65.1317","65.2033","65.3590","65.0340","-0.11%"
"Oct 02, 2019","65.2033","65.2647","65.5575","65.0385","-0.09%"
"Oct 01, 2019","65.2647","64.8569","65.4345","64.8569","0.63%"
"Sep 30, 2019","64.8569","64.6841","65.0026","64.5845","0.27%"
"Sep 27, 2019","64.6841","64.2124","64.7088","64.2100","0.73%"
"Sep 26, 2019","64.2124","64.1506","64.3728","64.1151","0.10%"
"Sep 25, 2019","64.1506","63.9902","64.4728","63.9850","0.25%"
"Sep 24, 2019","63.9902","63.8469","64.0000","63.6178","0.22%"
"Sep 23, 2019","63.8469","64.0200","64.0641","63.8093","-0.27%"
